EmployeeID,Role,Department,StartDate,Manager,OnboardingTask,TaskOwner,DueDate,CompletedDate,Status,BlockedReason,TrainingModule,TrainingStatus,Notes
E2025-0001,Recruiter,HR,2025-02-10,Grace Thompson,Complete Code of Conduct training,Employee,2025-03-02,,Not started,,Code of Conduct,Assigned,Not started
E2025-0001,Recruiter,HR,2025-02-10,Grace Thompson,Request core system access (HRIS/CRM/Jira),Manager,2025-02-25,,Not started,,N/A,Not assigned,Not started
E2025-0001,Recruiter,HR,2025-02-10,Grace Thompson,Meet manager: 30-60-90 plan review,Manager,2025-02-18,,Blocked,Waiting for laptop,N/A,Not assigned,Blocked: Waiting for laptop
E2025-0001,Recruiter,HR,2025-02-10,Grace Thompson,Set up email and Teams account,IT,2025-02-16,,Blocked,Waiting for laptop,N/A,Not assigned,Blocked: Waiting for laptop
E2025-0002,HR Coordinator,HR,2025-07-09,Grace Thompson,Workstation/desk setup,Facilities,2025-07-20,,Not started,,N/A,Not assigned,Not started
E2025-0002,HR Coordinator,HR,2025-07-09,Grace Thompson,Request core system access (HRIS/CRM/Jira),Manager,2025-07-28,,In progress,,N/A,Not assigned,In progress
E2025-0002,HR Coordinator,HR,2025-07-09,Grace Thompson,Set up multi-factor authentication (MFA),IT,2025-07-12,,Blocked,Waiting for laptop,N/A,Not assigned,Blocked: Waiting for laptop
E2025-0002,HR Coordinator,HR,2025-07-09,Grace Thompson,Meet manager: 30-60-90 plan review,Manager,2025-07-17,,Done,,N/A,Not assigned,Completed date missing (data issue)
E2025-0003,Software Engineer II,Engineering,2025-11-10,Ava Patel,Complete Code of Conduct training,Employee,2025-11-23,2025-11-14,Done,,Code of Conduct,Completed,
E2025-0003,Software Engineer II,Engineering,2025-11-10,Ava Patel,Badge & building access setup,Facilities,2025-11-21,2025-11-16,Done,,N/A,Not assigned,
E2025-0003,Software Engineer II,Engineering,2025-11-10,Ava Patel,Complete Data Privacy (GDPR) training,Employee,2025-12-01,,In progress,,Data Privacy (GDPR),Assigned,In progress
E2025-0003,Software Engineer II,Engineering,2025-11-10,Ava Patel,Complete I-9 verification,HR,2025-11-13,,In progress,,N/A,Not assigned,In progress
E2025-0004,Office Coordinator,Operations,2025-01-08,Harper Wilson,Provision laptop and accessories,IT,2025-01-09,2025-01-10,Done,,N/A,Not assigned,Device to be delivered to desk or shipped
E2025-0004,Office Coordinator,Operations,2025-01-08,Harper Wilson,Complete Code of Conduct training,Employee,2025-01-14,2025-01-16,Done,,Code of Conduct,Completed,
E2025-0004,Office Coordinator,Operations,2025-01-08,Harper Wilson,Submit direct deposit details,Employee,2025-01-22,2025-01-09,Done,,N/A,Not assigned,
E2025-0004,Office Coordinator,Operations,2025-01-08,Harper Wilson,Complete Security Awareness training,Employee,2025-01-14,2025-01-11,Done,,Security Awareness,Completed,
E2025-0005,FP&A Analyst,Finance,2025-02-09,Benjamin Lee,Complete Security Awareness training,Employee,2025-02-15,,In progress,,Security Awareness,Assigned,In progress
E2025-0005,FP&A Analyst,Finance,2025-02-09,Benjamin Lee,Enroll in benefits (medical/dental/401k),HR,2025-02-22,,In progress,,N/A,Not assigned,In progress
E2025-0005,FP&A Analyst,Finance,2025-02-09,Benjamin Lee,Meet manager: 30-60-90 plan review,Manager,2025-02-15,,In progress,,N/A,Not assigned,In progress
E2025-0005,FP&A Analyst,Finance,2025-02-09,Benjamin Lee,Badge & building access setup,Facilities,2025-02-20,,Not started,,N/A,Not assigned,Not started
E2025-0006,Data Analyst,Engineering,2025-09-05,Sofia Ramirez,Team introductions / buddy assignment,Manager,2025-09-12,2025-09-08,Done,,N/A,Not assigned,
E2025-0006,Data Analyst,Engineering,2025-09-05,Sofia Ramirez,Request core system access (HRIS/CRM/Jira),Manager,2025-09-13,2025-09-11,Done,,N/A,Not assigned,Include required groups/roles in request
E2025-0006,Data Analyst,Engineering,2025-09-05,Sofia Ramirez,Provision laptop and accessories,IT,2025-09-09,2025-09-11,Done,,N/A,Not assigned,Device to be delivered to desk or shipped
E2025-0006,Data Analyst,Engineering,2025-09-05,Sofia Ramirez,Read employee handbook and confirm,Employee,2025-09-18,,In progress,,Employee Handbook,Assigned,In progress
E2025-0007,Data Analyst,Engineering,2025-09-24,Ava Patel,Set up multi-factor authentication (MFA),IT,2025-09-29,,Blocked,Waiting for laptop,N/A,Not assigned,Blocked: Waiting for laptop
E2025-0007,Data Analyst,Engineering,2025-09-24,Ava Patel,Enroll in benefits (medical/dental/401k),HR,2025-10-05,2025-09-26,Done,,N/A,Not assigned,
E2025-0007,Data Analyst,Engineering,2025-09-24,Ava Patel,Enroll in benefits (medical/dental/401k),HR,2025-10-05,2025-10-01,Done,,N/A,Not assigned,Duplicate task entry (data quality issue)
E2025-0007,Data Analyst,Engineering,2025-09-24,Ava Patel,Workstation/desk setup,Facilities,2025-09-28,,Blocked,Manager unavailable,N/A,Not assigned,Blocked: Manager unavailable
E2025-0008,IT Support Technician,IT,2025-01-22,Jackson Moore,Provision laptop and accessories,IT,2025-01-28,2025-01-27,Done,,N/A,Not assigned,Device to be delivered to desk or shipped
E2025-0008,IT Support Technician,IT,2025-01-22,Jackson Moore,Complete Workplace Harassment Prevention training,Employee,2025-02-01,2025-01-30,Done,,Harassment Prevention,Completed,
E2025-0008,IT Support Technician,IT,2025-01-22,Jackson Moore,Team introductions / buddy assignment,Manager,2025-02-05,,In progress,,N/A,Not assigned,In progress
E2025-0008,IT Support Technician,IT,2025-01-22,Jackson Moore,Workstation/desk setup,Facilities,2025-01-26,2025-01-24,Done,,N/A,Not assigned,
E2025-0009,QA Engineer,Engineering,2025-02-10,Sofia Ramirez,Complete expense policy acknowledgement,Finance,2025-02-16,,Blocked,Manager unavailable,N/A,Not assigned,Blocked: Manager unavailable
E2025-0009,QA Engineer,Engineering,2025-02-10,Sofia Ramirez,Badge & building access setup,Facilities,2025-02-20,,Done,,N/A,Not assigned,Completed date missing (data issue)
E2025-0009,QA Engineer,Engineering,2025-02-10,Sofia Ramirez,Request core system access (HRIS/CRM/Jira),Manager,2025-02-16,2025-02-16,Done,,N/A,Not assigned,Include required groups/roles in request
E2025-0009,QA Engineer,Engineering,2025-02-10,Sofia Ramirez,Submit direct deposit details,Employee,2025-02-15,,In progress,,N/A,Not assigned,In progress
E2025-0010,Operations Associate,Operations,2025-12-19,Harper Wilson,Role tools walkthrough (apps & workflow),Operations Lead,2025-12-31,,Blocked,Access not granted,Role Tools 101,Assigned,Blocked: Access not granted
E2025-0010,Operations Associate,Operations,2025-12-19,Harper Wilson,Request core system access (HRIS/CRM/Jira),Manager,2025-12-31,2025-12-30,Done,,N/A,Not assigned,Include required groups/roles in request
E2025-0010,Operations Associate,Operations,2025-12-19,Harper Wilson,Enroll in benefits (medical/dental/401k),HR,2025-12-24,,Done,,N/A,Not assigned,Completed date missing (data issue)
E2025-0010,Operations Associate,Operations,2025-12-19,Harper Wilson,Enroll in benefits (medical/dental/401k),HR,2025-12-24,,Not started,,N/A,Not assigned,Duplicate task entry (data quality issue); Not started
E2025-0011,Recruiter,HR,2025-05-13,Grace Thompson,Complete Code of Conduct training,Employee,2025-05-31,,In progress,,Code of Conduct,Assigned,In progress
E2025-0011,Recruiter,HR,2025-05-13,Grace Thompson,Complete I-9 verification,HR,2025-05-23,,Not started,,N/A,Not assigned,Not started
E2025-0011,Recruiter,HR,2025-05-13,Grace Thompson,Submit direct deposit details,Employee,2025-05-26,,Blocked,Access not granted,N/A,Not assigned,Blocked: Access not granted
E2025-0011,Recruiter,HR,2025-05-13,Grace Thompson,Workstation/desk setup,Facilities,2025-05-15,2025-05-17,Done,,N/A,Not assigned,
E2025-0012,Customer Success Associate,Customer Support,2025-05-12,Chloe Davis,Complete Security Awareness training,Employee,2025-05-26,2025-05-26,Done,,Security Awareness,Completed,
E2025-0012,Customer Success Associate,Customer Support,2025-05-12,Chloe Davis,Submit direct deposit details,Employee,2025-05-29,,Blocked,Manager unavailable,N/A,Not assigned,Duplicate task entry (data quality issue); Blocked: Manager unavailable
E2025-0012,Customer Success Associate,Customer Support,2025-05-12,Chloe Davis,Submit direct deposit details,Employee,2025-05-29,2025-05-16,Done,,N/A,Not assigned,
E2025-0012,Customer Success Associate,Customer Support,2025-05-12,Chloe Davis,Set up multi-factor authentication (MFA),IT,2025-05-15,,Done,,N/A,Not assigned,Completed date missing (data issue)
E2025-0013,Sales Operations Analyst,Sales,2025-01-12,Ethan Brooks,Enroll in benefits (medical/dental/401k),HR,2025-01-26,2025-01-22,Done,,N/A,Not assigned,
E2025-0013,Sales Operations Analyst,Sales,2025-01-12,Ethan Brooks,Workstation/desk setup,Facilities,2025-01-21,2025-01-13,Done,,N/A,Not assigned,
E2025-0013,Sales Operations Analyst,Sales,2025-01-12,Ethan Brooks,Submit direct deposit details,Employee,2025-01-29,2025-01-14,Done,,N/A,Not assigned,
E2025-0013,Sales Operations Analyst,Sales,2025-01-12,Ethan Brooks,Request core system access (HRIS/CRM/Jira),Manager,2025-01-29,2025-01-21,Done,,N/A,Not assigned,Include required groups/roles in request
E2025-0014,Technical Support Specialist,Customer Support,2025-01-18,Chloe Davis,Team introductions / buddy assignment,Manager,2025-02-06,,Done,,N/A,Not assigned,Completed date missing (data issue)
E2025-0014,Technical Support Specialist,Customer Support,2025-01-18,Chloe Davis,Workstation/desk setup,Facilities,2025-01-22,,In progress,,N/A,Not assigned,In progress
E2025-0014,Technical Support Specialist,Customer Support,2025-01-18,Chloe Davis,Badge & building access setup,Facilities,2025-01-28,2025-01-27,Done,,N/A,Not assigned,
E2025-0014,Technical Support Specialist,Customer Support,2025-01-18,Chloe Davis,Provision laptop and accessories,IT,2025-01-22,2025-01-19,Done,,N/A,Not assigned,Device to be delivered to desk or shipped
E2025-0015,Technical Support Specialist,Customer Support,2025-09-15,Daniel Nguyen,Role tools walkthrough (apps & workflow),Support Lead,2025-09-29,2025-09-30,Done,,Role Tools 101,Completed,
E2025-0015,Technical Support Specialist,Customer Support,2025-09-15,Daniel Nguyen,Complete expense policy acknowledgement,Finance,2025-09-21,2025-09-20,Done,,N/A,Not assigned,
E2025-0015,Technical Support Specialist,Customer Support,2025-09-15,Daniel Nguyen,Complete Security Awareness training,Employee,2025-09-23,2025-09-20,Done,,Security Awareness,Completed,
E2025-0015,Technical Support Specialist,Customer Support,2025-09-15,Daniel Nguyen,Set up multi-factor authentication (MFA),IT,2025-09-22,2025-09-22,Done,,N/A,Not assigned,
E2025-0016,People Operations Specialist,HR,2025-08-06,Grace Thompson,Complete Security Awareness training,Employee,2025-08-25,2025-08-10,Done,,Security Awareness,Completed,
E2025-0016,People Operations Specialist,HR,2025-08-06,Grace Thompson,Complete I-9 verification,HR,2025-08-10,,Done,,N/A,Not assigned,Completed date missing (data issue)
E2025-0016,People Operations Specialist,HR,2025-08-06,Grace Thompson,Workstation/desk setup,Facilities,2025-08-12,,In progress,,N/A,Not assigned,In progress
E2025-0016,People Operations Specialist,HR,2025-08-06,Grace Thompson,Meet manager: 30-60-90 plan review,Manager,2025-08-25,2025-08-08,Done,,N/A,Not assigned,Schedule on calendar during first week
E2025-0017,Systems Administrator,IT,2025-09-21,Jackson Moore,Read employee handbook and confirm,Employee,2025-10-01,,In progress,,Employee Handbook,Assigned,In progress
E2025-0017,Systems Administrator,IT,2025-09-21,Jackson Moore,Role tools walkthrough (apps & workflow),Operations Lead,2025-10-12,2025-10-10,Done,,Role Tools 101,Completed,
E2025-0017,Systems Administrator,IT,2025-09-21,Jackson Moore,Workstation/desk setup,Facilities,2025-09-28,,In progress,,N/A,Not assigned,In progress
E2025-0017,Systems Administrator,IT,2025-09-21,Jackson Moore,Request core system access (HRIS/CRM/Jira),Manager,2025-09-26,2025-09-28,Done,,N/A,Not assigned,Include required groups/roles in request
E2025-0018,Growth Analyst,Marketing,2025-03-19,Lucas Wright,Complete I-9 verification,HR,2025-03-31,,Not started,,N/A,Not assigned,Not started
E2025-0018,Growth Analyst,Marketing,2025-03-19,Lucas Wright,Enroll in benefits (medical/dental/401k),HR,2025-04-02,2025-03-25,Done,,N/A,Not assigned,
E2025-0018,Growth Analyst,Marketing,2025-03-19,Lucas Wright,Request core system access (HRIS/CRM/Jira),Manager,2025-04-01,,In progress,,N/A,Not assigned,In progress
E2025-0018,Growth Analyst,Marketing,2025-03-19,Lucas Wright,Complete Workplace Harassment Prevention training,Employee,2025-03-27,,Blocked,Waiting for laptop,Harassment Prevention,Assigned,Blocked: Waiting for laptop
E2025-0019,Systems Administrator,IT,2025-03-06,Jackson Moore,Enroll in benefits (medical/dental/401k),HR,2025-03-11,,In progress,,N/A,Not assigned,In progress
E2025-0019,Systems Administrator,IT,2025-03-06,Jackson Moore,Badge & building access setup,Facilities,2025-03-18,2025-03-12,Done,,N/A,Not assigned,
E2025-0019,Systems Administrator,IT,2025-03-06,Jackson Moore,Submit direct deposit details,Employee,2025-03-12,,Not started,,N/A,Not assigned,Not started
E2025-0019,Systems Administrator,IT,2025-03-06,Jackson Moore,Workstation/desk setup,Facilities,2025-03-13,2025-03-08,Done,,N/A,Not assigned,
E2025-0020,Office Coordinator,Operations,2025-08-19,Harper Wilson,Request core system access (HRIS/CRM/Jira),Manager,2025-08-27,,In progress,,N/A,Not assigned,In progress
E2025-0020,Office Coordinator,Operations,2025-08-19,Harper Wilson,Set up email and Teams account,IT,2025-08-25,,In progress,,N/A,Not assigned,Duplicate task entry (data quality issue); In progress
E2025-0020,Office Coordinator,Operations,2025-08-19,Harper Wilson,Set up email and Teams account,IT,2025-08-25,,Not started,,N/A,Not assigned,Not started
E2025-0020,Office Coordinator,Operations,2025-08-19,Harper Wilson,Read employee handbook and confirm,Employee,2025-08-29,2025-08-22,Done,,Employee Handbook,Completed,
E2025-0021,People Operations Specialist,HR,2025-06-19,Grace Thompson,Workstation/desk setup,Facilities,2025-06-29,2025-06-23,Done,,N/A,Not assigned,
E2025-0021,People Operations Specialist,HR,2025-06-19,Grace Thompson,Complete Code of Conduct training,Employee,2025-06-26,2025-06-26,Done,,Code of Conduct,Completed,
E2025-0021,People Operations Specialist,HR,2025-06-19,Grace Thompson,Read employee handbook and confirm,Employee,2025-07-04,2025-06-28,Done,,Employee Handbook,Completed,
E2025-0021,People Operations Specialist,HR,2025-06-19,Grace Thompson,Role tools walkthrough (apps & workflow),Operations Lead,2025-07-09,,In progress,,Role Tools 101,Assigned,In progress
E2025-0022,Content Strategist,Marketing,2025-11-11,Olivia Martin,Team introductions / buddy assignment,Manager,2025-11-25,2025-11-20,Done,,N/A,Not assigned,
E2025-0022,Content Strategist,Marketing,2025-11-11,Olivia Martin,Workstation/desk setup,Facilities,2025-11-13,2025-11-12,Done,,N/A,Not assigned,Duplicate task entry (data quality issue)
E2025-0022,Content Strategist,Marketing,2025-11-11,Olivia Martin,Complete expense policy acknowledgement,Finance,2025-11-29,,Not started,,N/A,Not assigned,Not started
E2025-0022,Content Strategist,Marketing,2025-11-11,Olivia Martin,Workstation/desk setup,Facilities,2025-11-13,2025-11-14,Done,,N/A,Not assigned,
E2025-0023,Data Analyst,Engineering,2025-10-10,Ava Patel,Role tools walkthrough (apps & workflow),Engineering Enablement,2025-10-23,2025-10-24,Done,,Role Tools 101,Completed,
E2025-0023,Data Analyst,Engineering,2025-10-10,Ava Patel,Complete expense policy acknowledgement,Finance,2025-10-25,,Not started,,N/A,Not assigned,Not started
E2025-0023,Data Analyst,Engineering,2025-10-10,Ava Patel,Request core system access (HRIS/CRM/Jira),Manager,2025-10-22,2025-10-16,Done,,N/A,Not assigned,Include required groups/roles in request
E2025-0023,Data Analyst,Engineering,2025-10-10,Ava Patel,Workstation/desk setup,Facilities,2025-10-20,2025-10-13,Done,,N/A,Not assigned,
E2025-0024,IT Analyst,IT,2025-12-13,Jackson Moore,Set up multi-factor authentication (MFA),IT,2025-12-15,,In progress,,N/A,Not assigned,In progress
E2025-0024,IT Analyst,IT,2025-12-13,Jackson Moore,Complete I-9 verification,HR,2025-12-24,,In progress,,N/A,Not assigned,In progress
E2025-0024,IT Analyst,IT,2025-12-13,Jackson Moore,Team introductions / buddy assignment,Manager,2025-12-22,2025-12-20,Done,,N/A,Not assigned,
E2025-0024,IT Analyst,IT,2025-12-13,Jackson Moore,Complete Security Awareness training,Employee,2025-12-22,2025-12-14,Done,,Security Awareness,Completed,
E2025-0025,Operations Associate,Operations,2025-04-03,Harper Wilson,Complete Security Awareness training,Employee,2025-04-17,2025-04-17,Done,,Security Awareness,Completed,
E2025-0025,Operations Associate,Operations,2025-04-03,Harper Wilson,Set up multi-factor authentication (MFA),IT,2025-04-12,,Not started,,N/A,Not assigned,Not started
E2025-0025,Operations Associate,Operations,2025-04-03,Harper Wilson,Complete Workplace Harassment Prevention training,Employee,2025-04-20,,Done,,Harassment Prevention,Completed,Completed date missing (data issue)
E2025-0025,Operations Associate,Operations,2025-04-03,Harper Wilson,Enroll in benefits (medical/dental/401k),HR,2025-04-17,,In progress,,N/A,Not assigned,In progress
E2025-0026,Operations Associate,Operations,2025-11-25,Harper Wilson,Complete expense policy acknowledgement,Finance,2025-12-08,2025-11-29,Done,,N/A,Not assigned,
E2025-0026,Operations Associate,Operations,2025-11-25,Harper Wilson,Complete Security Awareness training,Employee,2025-12-04,2025-11-29,Done,,Security Awareness,Completed,
E2025-0026,Operations Associate,Operations,2025-11-25,Harper Wilson,Complete Data Privacy (GDPR) training,Employee,2025-12-06,2025-12-08,Done,,Data Privacy (GDPR),Completed,
E2025-0026,Operations Associate,Operations,2025-11-25,Harper Wilson,Provision laptop and accessories,IT,2025-11-30,2025-11-26,Done,,N/A,Not assigned,Device to be delivered to desk or shipped
E2025-0027,Sales Operations Analyst,Sales,2025-12-05,Ethan Brooks,Complete Data Privacy (GDPR) training,Employee,2025-12-13,,Blocked,Access not granted,Data Privacy (GDPR),Assigned,Blocked: Access not granted
E2025-0027,Sales Operations Analyst,Sales,2025-12-05,Ethan Brooks,Submit direct deposit details,Employee,2025-12-15,2025-12-14,Done,,N/A,Not assigned,
E2025-0027,Sales Operations Analyst,Sales,2025-12-05,Ethan Brooks,Complete I-9 verification,HR,2025-12-10,,Blocked,Access not granted,N/A,Not assigned,Blocked: Access not granted
E2025-0027,Sales Operations Analyst,Sales,2025-12-05,Ethan Brooks,Enroll in benefits (medical/dental/401k),HR,2025-12-13,2025-12-10,Done,,N/A,Not assigned,
E2025-0028,Accounts Payable Specialist,Finance,2025-04-12,Benjamin Lee,Enroll in benefits (medical/dental/401k),HR,2025-04-24,2025-04-23,Done,,N/A,Not assigned,
E2025-0028,Accounts Payable Specialist,Finance,2025-04-12,Benjamin Lee,Role tools walkthrough (apps & workflow),Operations Lead,2025-04-18,2025-04-20,Done,,Role Tools 101,Completed,
E2025-0028,Accounts Payable Specialist,Finance,2025-04-12,Benjamin Lee,Complete Data Privacy (GDPR) training,Employee,2025-04-23,,Not started,,Data Privacy (GDPR),Assigned,Not started
E2025-0028,Accounts Payable Specialist,Finance,2025-04-12,Benjamin Lee,Workstation/desk setup,Facilities,2025-04-20,2025-04-18,Done,,N/A,Not assigned,
E2025-0029,Data Analyst,Engineering,2025-10-09,Noah Kim,Set up email and Teams account,IT,2025-10-13,,In progress,,N/A,Not assigned,In progress
E2025-0029,Data Analyst,Engineering,2025-10-09,Noah Kim,Set up multi-factor authentication (MFA),IT,2025-10-15,,Done,,N/A,Not assigned,Completed date missing (data issue)
E2025-0029,Data Analyst,Engineering,2025-10-09,Noah Kim,Badge & building access setup,Facilities,2025-10-16,,In progress,,N/A,Not assigned,In progress
E2025-0029,Data Analyst,Engineering,2025-10-09,Noah Kim,Complete Workplace Harassment Prevention training,Employee,2025-10-24,2025-10-20,Done,,Harassment Prevention,Completed,
E2025-0030,IT Support Technician,IT,2025-05-18,Jackson Moore,Complete expense policy acknowledgement,Finance,2025-05-28,2025-05-26,Done,,N/A,Not assigned,
E2025-0030,IT Support Technician,IT,2025-05-18,Jackson Moore,Workstation/desk setup,Facilities,2025-05-25,2025-05-27,Done,,N/A,Not assigned,Duplicate task entry (data quality issue)
E2025-0030,IT Support Technician,IT,2025-05-18,Jackson Moore,Read employee handbook and confirm,Employee,2025-05-24,,In progress,,Employee Handbook,Assigned,In progress
E2025-0030,IT Support Technician,IT,2025-05-18,Jackson Moore,Workstation/desk setup,Facilities,2025-05-25,2025-05-24,Done,,N/A,Not assigned,
